"TOA5","PNNL_23","CR1000X","9645","CR1000X.Std.03.01","CPU:Tempest_v5_8_1_21.CR1X","36170","WaterLevel600"
"TIMESTAMP","RECORD","Statname","Aquatroll_ID(1)","Barometric_Pressure600","Temperature600","Actual_Conductivity600","Specific_Conductivity600","Salinity600","TDS600","Water_Density600","Resistivity600","pH600","pH_mV600","pH_ORP600","RDO_concen600","RDO_perc_sat600","RDO_part_Pressure600","Pressure600","Depth600","Temperature_Int600","Voltage_Ext600","Battery_Int600"
"TS","RN","","","mmHg","C","uS/cm","uS/cm","PSU","ppt","g/cm3","ohm-cm","pH","mV","ORP- mV","mg/L","%Sat","Torr","PSI","cm","C","V","%"
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
2024-01-03 00:00:00,82608,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.91,70.3,0.03,17886,0.05,0.999,4.68,34,232.5,8.27,80.41,116.28,5.152216394964321,1422.3,14.28,13.489,66
2024-01-03 00:15:00,82609,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.53,71.09,0.03,17689,0.05,0.999,4.75,29.8,234.5,7.9,76.87,111.16,5.14717439229564,1421.8,14.28,13.362,66
2024-01-03 00:30:00,82610,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.17,70.63,0.03,17803,0.05,0.999,4.7,32.7,232.2,8.11,78.89,114.08,5.147104890642221,1421.5,14.28,13.498,66
2024-01-03 00:45:00,82611,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.97,70.38,0.03,17867,0.05,0.999,4.68,33.8,231.6,8.23,79.99,115.67,5.148281197424142,1421.4,14.28,13.299,66
2024-01-03 01:00:00,82612,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.85,70.23,0.03,17905,0.05,0.999,4.68,33.9,232.3,8.26,80.34,116.18,5.147875848465509,1421.3,14.28,13.48,66
2024-01-03 01:15:00,82613,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.93,71.59,0.03,17565,0.05,0.999,4.75,30.1,235.2,7.93,77.09,111.47,5.147019376921734,1421.4,14.28,13.29,66
2024-01-03 01:30:00,82614,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.24,70.72,0.03,17780,0.05,0.999,4.71,32.4,231.5,8.1,78.74,113.86,5.144614782154668,1421.1,14.28,13.516,66
2024-01-03 01:45:00,82615,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.97,70.38,0.03,17867,0.05,0.999,4.68,33.9,231.7,8.22,79.92,115.57,5.144991123745427,1421.2,14.28,13.543,66
2024-01-03 02:00:00,82616,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.87,70.26,0.03,17898,0.05,0.999,4.68,34.1,232.6,8.27,80.45,116.33,5.142729303243025,1421.1,14.28,13.498,66
2024-01-03 02:15:00,82617,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.58,71.15,0.03,17673,0.05,0.999,4.75,29.9,234.6,7.91,76.94,111.26,5.142642281139409,1421.1,14.28,13.471,66
2024-01-03 02:30:00,82618,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.17,70.63,0.03,17804,0.05,0.999,4.71,32.6,232.2,8.09,78.64,113.72,5.138076637465915,1420.8,14.28,13.498,66
2024-01-03 02:45:00,82619,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.99,70.4,0.03,17861,0.05,0.999,4.68,33.9,231.7,8.23,79.99,115.68,5.13829419272495,1420.8,14.28,13.507,66
2024-01-03 03:00:00,82620,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.84,70.22,0.03,17908,0.05,0.999,4.68,34,232.5,8.26,80.36,116.21,5.138091895341417,1420.7,14.28,13.48,66
2024-01-03 03:15:00,82621,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.91,71.56,0.03,17572,0.05,0.999,4.75,30.4,235.2,7.95,77.27,111.74,5.136643789522538,1420.5,14.28,13.398,66
2024-01-03 03:30:00,82622,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.2,70.68,0.03,17792,0.05,0.999,4.7,32.7,232.1,8.1,78.82,113.97,5.139397981087195,1420.7,14.28,13.507,66
2024-01-03 03:45:00,82623,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.95,70.35,0.03,17875,0.05,0.999,4.68,34.2,232.4,8.23,80.02,115.71,5.135672796890409,1420.5,14.28,13.426,66
2024-01-03 04:00:00,82624,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.9,70.29,0.03,17889,0.05,0.999,4.67,34.4,233.1,8.27,80.43,116.31,5.134746069501653,1420.3,14.28,13.507,66
2024-01-03 04:15:00,82625,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.64,71.22,0.03,17655,0.05,0.999,4.75,30.3,236.2,7.93,77.1,111.49,5.131094157916108,1420,14.28,13.498,66
2024-01-03 04:30:00,82626,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.2,70.67,0.03,17794,0.05,0.999,4.7,32.8,233.3,8.12,78.97,114.2,5.133080408423738,1420.1,14.28,13.525,66
2024-01-03 04:45:00,82627,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.98,70.4,0.03,17864,0.05,0.999,4.68,34.1,232.7,8.25,80.22,116,5.133122411092415,1420.2,14.28,13.498,66
2024-01-03 05:00:00,82628,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.9,70.29,0.03,17890,0.05,0.999,4.68,34.1,233.3,8.27,80.39,116.25,5.126556013227361,1419.9,14.28,13.525,66
2024-01-03 05:15:00,82629,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.91,71.57,0.03,17571,0.05,0.999,4.75,30.3,235.6,7.94,77.19,111.63,5.126801821662698,1420,14.28,13.498,66
2024-01-03 05:30:00,82630,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.25,70.73,0.03,17778,0.05,0.999,4.7,33,232.3,8.09,78.72,113.83,5.128220920113705,1420.2,14.28,13.516,66
2024-01-03 05:45:00,82631,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.05,70.48,0.03,17843,0.05,0.999,4.67,34.4,232.7,8.24,80.13,115.88,5.124582758020534,1420,14.28,13.507,66
2024-01-03 06:00:00,82632,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.93,70.34,0.03,17879,0.05,0.999,4.67,34.6,233.5,8.27,80.39,116.24,5.122132389626966,1419.9,14.28,13.48,66
2024-01-03 06:15:00,82633,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.77,71.39,0.03,17616,0.05,0.999,4.73,31,234.7,7.97,77.51,112.08,5.120913325984795,1420,14.28,13.507,66
2024-01-03 06:30:00,82634,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.22,70.69,0.03,17789,0.05,0.999,4.69,33.4,233.1,8.14,79.14,114.44,5.113390439171547,1419.6,14.28,13.525,66
2024-01-03 06:45:00,82635,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56,70.42,0.03,17856,0.05,0.999,4.68,34.4,232.8,8.23,80.05,115.75,5.114302662876371,1419.7,14.28,13.489,66
2024-01-03 07:00:00,82636,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.92,70.32,0.03,17883,0.05,0.999,4.67,34.5,233.5,8.27,80.37,116.22,5.11105760863259,1419.4,14.28,13.516,66
2024-01-03 07:15:00,82637,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.99,71.67,0.03,17546,0.05,0.999,4.74,30.5,236.1,7.94,77.22,111.66,5.112056854441028,1419.5,14.28,13.489,66
2024-01-03 07:30:00,82638,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.26,70.74,0.03,17776,0.05,0.999,4.7,33.2,234.4,8.11,78.9,114.1,5.109666009166327,1419.3,14.28,13.281,66
2024-01-03 07:45:00,82639,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.06,70.5,0.03,17837,0.05,0.999,4.67,34.6,233.4,8.24,80.09,115.82,5.110593490746647,1419.4,14.28,13.534,66
2024-01-03 08:00:00,82640,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.9,70.3,0.03,17888,0.05,0.999,4.67,34.8,233.7,8.28,80.47,116.36,5.110201891280383,1419.3,14.28,13.498,66
2024-01-03 08:15:00,82641,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.69,71.3,0.03,17638,0.05,0.999,4.74,30.7,235.7,7.96,77.39,111.91,5.10707135812496,1419.1,14.28,13.498,66
2024-01-03 08:30:00,82642,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.19,70.66,0.03,17797,0.05,0.999,4.69,33.4,233.4,8.12,78.98,114.21,5.105100365492832,1419,14.28,13.416,66
2024-01-03 08:45:00,82643,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,56.05,70.49,0.03,17842,0.05,0.999,4.67,34.6,233.1,8.24,80.15,115.91,5.105475952892031,1419.1,14.28,13.498,66
2024-01-03 09:00:00,82644,PNNL_23,113IN-SITU AT600 232 6,763.1,14.28,55.92,70.32,0.03,17883,0.05,0.999,4.67,34.6,233.9,8.28,80.49,116.39,5.100837036607295,1418.9,14.28,13.29,66
